Name,Nomenclature Name
DW2.2-201412051600-SAM01.lsm,r2DII_2.2_141204_sam01_t32
DW2.2-201412040800-SAM02.lsm,r2DII_2.2_141204_sam02_t00
DW2.2-201412041200-SAM02.lsm,r2DII_2.2_141204_sam02_t04
DW2.2-201412041600-SAM02.lsm,r2DII_2.2_141204_sam02_t08
DW2.2-201412050800-SAM02.lsm,r2DII_2.2_141204_sam02_t24
DW2.2-201412051200-SAM02.lsm,r2DII_2.2_141204_sam02_t28
DW2.2-201412051600-SAM02.lsm,r2DII_2.2_141204_sam02_t32
DW2.2-201412040800-SAM07.lsm,r2DII_2.2_141204_sam07_t00
DW2.2-201412041200-SAM07.lsm,r2DII_2.2_141204_sam07_t04
DW2.2-201412041600-SAM07.lsm,r2DII_2.2_141204_sam07_t08
DW2.2-201412050800-SAM07.lsm,r2DII_2.2_141204_sam07_t24
DW2.2-201412051200-SAM07.lsm,r2DII_2.2_141204_sam07_t28
DW2.2-201412051600-SAM07.lsm,r2DII_2.2_141204_sam07_t32
DW2.2-201412040800-SAM08.lsm,r2DII_2.2_141204_sam08_t00
DW2.2-201412041200-SAM08.lsm,r2DII_2.2_141204_sam08_t04
DW2.2-201412041600-SAM08.lsm,r2DII_2.2_141204_sam08_t08
DW2.2-201412050800-SAM08.lsm,r2DII_2.2_141204_sam08_t24
DW2.2-201412051200-SAM08.lsm,r2DII_2.2_141204_sam08_t28
DW2.2-201412051600-SAM08.lsm,r2DII_2.2_141204_sam08_t32
DW2.2-201412040800-SAM09.lsm,r2DII_2.2_141204_sam09_t00
DW2.2-201412041200-SAM09.lsm,r2DII_2.2_141204_sam09_t04
DW2.2-201412041600-SAM09.lsm,r2DII_2.2_141204_sam09_t08
DW2.2-201412050800-SAM09.lsm,r2DII_2.2_141204_sam09_t24
DW2.2-201412051200-SAM09.lsm,r2DII_2.2_141204_sam09_t28
DW2.2-201412051600-SAM09.lsm,r2DII_2.2_141204_sam09_t32
ML1PMN_SAM10_20150130_2000.lsm,L1PMN_1.1_150129_sam10_t36
ML1PMN_SAM09_20150130_2000.lsm,L1PMN_1.1_150129_sam09_t36
ML1PMN_SAM08_20150130_2000.lsm,L1PMN_1.1_150129_sam08_t36
ML1PMN_SAM07_20150130_2000.lsm,L1PMN_1.1_150129_sam07_t36
ML1PMN_SAM06_20150130_2000.lsm,L1PMN_1.1_150129_sam06_t36
ML1PMN_SAM05_20150130_2000.lsm,L1PMN_1.1_150129_sam05_t36
ML1PMN_SAM04_20150130_2000.lsm,L1PMN_1.1_150129_sam04_t36
ML1PMN_SAM03_20150130_2000.lsm,L1PMN_1.1_150129_sam03_t36
ML1PMN_SAM02_20150130_2000.lsm,L1PMN_1.1_150129_sam02_t36
ML1PMN_SAM10_20150130_1600.lsm,L1PMN_1.1_150129_sam10_t32
ML1PMN_SAM09_20150130_1600.lsm,L1PMN_1.1_150129_sam09_t32
ML1PMN_SAM08_20150130_1600.lsm,L1PMN_1.1_150129_sam08_t32
ML1PMN_SAM07_20150130_1600.lsm,L1PMN_1.1_150129_sam07_t32
ML1PMN_SAM06_20150130_1600.lsm,L1PMN_1.1_150129_sam06_t32
ML1PMN_SAM05_20150130_1600.lsm,L1PMN_1.1_150129_sam05_t32
ML1PMN_SAM04_20150130_1600.lsm,L1PMN_1.1_150129_sam04_t32
ML1PMN_SAM03_20150130_1600.lsm,L1PMN_1.1_150129_sam03_t32
ML1PMN_SAM02_20150130_1600.lsm,L1PMN_1.1_150129_sam02_t32
ML1PMN_SAM10_20150130_1200.lsm,L1PMN_1.1_150129_sam10_t28
ML1PMN_SAM09_20150130_1200.lsm,L1PMN_1.1_150129_sam09_t28
ML1PMN_SAM08_20150130_1200.lsm,L1PMN_1.1_150129_sam08_t28
ML1PMN_SAM07_20150130_1200.lsm,L1PMN_1.1_150129_sam07_t28
ML1PMN_SAM06_20150130_1200.lsm,L1PMN_1.1_150129_sam06_t28
ML1PMN_SAM05_20150130_1200.lsm,L1PMN_1.1_150129_sam05_t28
ML1PMN_SAM04_20150130_1200.lsm,L1PMN_1.1_150129_sam04_t28
ML1PMN_SAM03_20150130_1200.lsm,L1PMN_1.1_150129_sam03_t28
ML1PMN_SAM02_20150130_1200.lsm,L1PMN_1.1_150129_sam02_t28
ML1PMN_SAM10_20150130_0800.lsm,L1PMN_1.1_150129_sam10_t24
ML1PMN_SAM09_20150130_0800.lsm,L1PMN_1.1_150129_sam09_t24
ML1PMN_SAM08_20150130_0800.lsm,L1PMN_1.1_150129_sam08_t24
ML1PMN_SAM07_20150130_0800.lsm,L1PMN_1.1_150129_sam07_t24
ML1PMN_SAM06_20150130_0800.lsm,L1PMN_1.1_150129_sam06_t24
ML1PMN_SAM05_20150130_0800.lsm,L1PMN_1.1_150129_sam05_t24
ML1PMN_SAM04_20150130_0800.lsm,L1PMN_1.1_150129_sam04_t24
ML1PMN_SAM03_20150130_0800.lsm,L1PMN_1.1_150129_sam03_t24
ML1PMN_SAM02_20150130_0800.lsm,L1PMN_1.1_150129_sam02_t24
ML1PMN_SAM10_20150129_2000.lsm,L1PMN_1.1_150129_sam10_t12
